"Id","TranslatedName","Name","VariationId","BehaviorJudgeId","EzStateBehaviorType_old","RefType","RefId","SfxVariationId","Category","Stamina","Mp","HeroPoint"
"531","","共通攻撃【ハシゴ_右キック】","0","0","0","0","41","0","9","20","0","0"
"540","","共通攻撃【ハシゴ_左パンチ】","0","0","0","0","42","0","5","20","0","0"
"541","","共通攻撃【ハシゴ_左キック】","0","0","0","0","43","0","9","20","0","0"
"542","","共通攻撃【ハシゴ_滑り降り】","0","0","0","0","44","0","5","0","0","0"
"600","","落下　半径1ｍ","0","0","0","0","200","0","5","0","0","0"
"601","","吹っ飛び（弱）　半径1ｍ","0","0","0","0","201","0","5","0","0","0"
"602","","吹っ飛び（強）　半径1ｍ","0","0","0","0","202","0","5","0","0","0"
"1000","","因果応報_爆発","0","0","0","1","12000","0","4","0","0","0"
"102000000","","短剣_片手通常1","2000","0","1","0","2000000","0","1","14","0","0"
"102000010","","短剣_片手通常2","2000","10","1","0","2000010","0","1","14","0","0"
"102000020","","短剣_片手通常3","2000","20","1","0","2000020","0","1","14","0","0"
"102000030","","短剣_片手ジャンプ1","2000","30","1","0","2000030","0","1","40","0","0"
"102000040","","短剣_片手落下ループ","2000","40","1","0","2000040","0","1","0","0","0"
"102000050","","短剣_片手落下着地","2000","50","1","0","2000050","0","1","40","0","0"
"102000100","","短剣_片手タメ1","2000","100","1","0","2000100","0","1","30","0","0"
"102000110","","短剣_片手タメ2","2000","110","1","0","2000110","0","1","30","0","0"
"102000200","","短剣_両手通常1","2000","200","1","0","2000200","0","1","24","0","0"
"102000210","","短剣_両手通常2","2000","210","1","0","2000210","0","1","24","0","0"
"102000220","","短剣_両手通常3","2000","220","1","0","2000220","0","1","24","0","0"
"102000230","","短剣_両手ジャンプ1","2000","230","1","0","2000230","0","1","50","0","0"
"102000240","","短剣_両手落下ループ","2000","240","1","0","2000240","0","1","0","0","0"
"102000250","","短剣_両手落下着地","2000","250","1","0","2000250","0","1","50","0","0"
"102000300","","短剣_両手タメ1","2000","300","1","0","2000300","0","1","40","0","0"
"102000310","","短剣_両手タメ2","2000","310","1","0","2000310","0","1","40","0","0"
"102000400","","短剣_左手","2000","400","1","0","2000400","0","2","14","0","0"
"102000410","","短剣_片手近距離","2000","410","1","0","2000410","0","9","10","0","0"
"102000420","","短剣_両手近距離","2000","420","1","0","2000420","0","9","10","0","0"
"102000430","","短剣_ガード_片手","2000","430","1","0","2000430","0","0","0","0","0"
"102000440","","短剣_ガード_両手","2000","440","1","0","2000440","0","0","0","0","0"
"102000450","","短剣_パリィ","2000","450","1","0","2000450","0","0","15","0","0"
"102000490","","短剣_落下投げ","2000","490","1","0","2000490","0","1","20","0","0"
"102000500","","短剣_背後","2000","500","1","0","2000500","0","1","20","0","0"
"102000505","","短剣_強化背後","2000","505","1","0","2000505","0","1","20","0","0"
"102000510","","短剣_パリィ後","2000","510","1","0","2000510","0","1","20","0","0"
"102000515","","短剣_強化パリィ後","2000","515","1","0","2000515","0","1","5","0","0"
"102000516","","短剣_強化パリィ後_二段目","2000","516","1","0","2000516","0","1","15","0","0"
"102000520","","短剣_片手ダッシュ","2000","520","1","0","2000520","0","1","20","0","0"
"102000530","","短剣_両手ダッシュ","2000","530","1","0","2000530","0","1","32","0","0"
"102000540","","短剣_片手ステップ前","2000","540","1","0","2000540","0","1","14","0","0"
"102000580","","短剣_両手ステップ前","2000","580","1","0","2000580","0","1","24","0","0"
"102000600","","短剣_パリィガード","2000","600","1","0","2000600","0","0","0","0","0"
"102001000","","【72】短刀_片手通常1","2001","0","1","0","2000000","0","1","14","0","0"
"102001010","","【72】短刀_片手通常2","2001","10","1","0","2000010","0","1","14","0","0"
"102001020","","【72】短刀_片手通常3","2001","20","1","0","2000020","0","1","14","0","0"
"102001030","","【72】短刀_片手ジャンプ1","2001","30","1","0","2000030","0","1","40","0","0"
"102001040","","【72】短刀_片手落下ループ","2001","40","1","0","2000040","0","1","0","0","0"
"102001050","","【72】短刀_片手落下着地","2001","50","1","0","2000050","0","1","40","0","0"
"102001100","","【72】短刀_片手タメ1","2001","100","1","0","2001100","0","1","30","0","0"
"102001110","","【72】短刀_片手タメ2","2001","110","1","0","2001110","0","1","30","0","0"
"102001200","","【72】短刀_両手通常1","2001","200","1","0","2000200","0","1","24","0","0"
"102001210","","【72】短刀_両手通常2","2001","210","1","0","2000210","0","1","24","0","0"
"102001220","","【72】短刀_両手通常3","2001","220","1","0","2000220","0","1","24","0","0"
"102001230","","【72】短刀_両手ジャンプ1","2001","230","1","0","2000230","0","1","50","0","0"
"102001240","","【72】短刀_両手落下ループ","2001","240","1","0","2000240","0","1","0","0","0"
"102001250","","【72】短刀_両手落下着地","2001","250","1","0","2000250","0","1","50","0","0"
"102001300","","【72】短刀_両手タメ1","2001","300","1","0","2001300","0","1","40","0","0"
"102001310","","【72】短刀_両手タメ2","2001","310","1","0","2001310","0","1","40","0","0"
"102001400","","【72】短刀_左手","2001","400","1","0","2000400","0","2","14","0","0"
"102001410","","【72】短刀_片手近距離","2001","410","1","0","2000410","0","9","10","0","0"
"102001420","","【72】短刀_両手近距離","2001","420","1","0","2000420","0","9","10","0","0"
"102001430","","【72】短刀_ガード_片手","2001","430","1","0","2000430","0","0","0","0","0"
"102001440","","【72】短刀_ガード_両手","2001","440","1","0","2000440","0","0","0","0","0"
"102001450","","【72】短刀_パリィ","2001","450","1","0","2000450","0","0","15","0","0"
"102001490","","【72】短刀_落下投げ","2001","490","1","0","2000490","0","1","20","0","0"
"102001500","","【72】短刀_背後","2001","500","1","0","2000500","0","1","20","0","0"
"102001505","","【72】短刀_強化背後","2001","505","1","0","2000505","0","1","20","0","0"
"102001510","","【72】短刀_パリィ後","2001","510","1","0","2000510","0","1","20","0","0"
"102001515","","【72】短刀_強化パリィ後","2001","515","1","0","2000515","0","1","5","0","0"
"102001516","","【72】短刀_強化パリィ後_二段目","2001","516","1","0","2000516","0","1","15","0","0"
"102001520","","【72】短刀_片手ダッシュ","2001","520","1","0","2000520","0","1","20","0","0"
"102001530","","【72】短刀_両手ダッシュ","2001","530","1","0","2000530","0","1","32","0","0"
"102001540","","【72】短刀_片手ステップ前","2001","540","1","0","2000540","0","1","14","0","0"
"102001580","","【72】短刀_両手ステップ前","2001","580","1","0","2000580","0","1","24","0","0"
"102001600","","【72】短刀_パリィガード","2001","600","1","0","2000600","0","0","0","0","0"
"102002000","","【73】吸魂_片手通常1","2002","0","1","0","2000000","0","1","14","0","0"
"102002010","","【73】吸魂_片手通常2","2002","10","1","0","2000010","0","1","14","0","0"
"102002020","","【73】吸魂_片手通常3","2002","20","1","0","2000020","0","1","14","0","0"
"102002030","","【73】吸魂_片手ジャンプ1","2002","30","1","0","2000030","0","1","40","0","0"
"102002040","","【73】吸魂_片手落下ループ","2002","40","1","0","2000040","0","1","0","0","0"
"102002050","","【73】吸魂_片手落下着地","2002","50","1","0","2000050","0","1","40","0","0"
"102002100","","【73】吸魂_片手タメ1","2002","100","1","0","2002100","0","1","15","0","0"
"102002110","","【73】吸魂_片手タメ2","2002","110","1","0","2002110","0","1","30","0","0"
"102002200","","【73】吸魂_両手通常1","2002","200","1","0","2000200","0","1","24","0","0"
"102002210","","【73】吸魂_両手通常2","2002","210","1","0","2000210","0","1","24","0","0"
"102002220","","【73】吸魂_両手通常3","2002","220","1","0","2000220","0","1","24","0","0"
"102002230","","【73】吸魂_両手ジャンプ1","2002","230","1","0","2000230","0","1","50","0","0"
"102002240","","【73】吸魂_両手落下ループ","2002","240","1","0","2000240","0","1","0","0","0"
"102002250","","【73】吸魂_両手落下着地","2002","250","1","0","2000250","0","1","50","0","0"
"102002300","","【73】吸魂_両手タメ1","2002","300","1","0","2002300","0","1","40","0","0"
"102002310","","【73】吸魂_両手タメ2","2002","310","1","0","2002310","0","1","20","0","0"
"102002400","","【73】吸魂_左手","2002","400","1","0","2000400","0","2","14","0","0"
"102002410","","【73】吸魂_片手近距離","2002","410","1","0","2000410","0","9","10","0","0"
"102002420","","【73】吸魂_両手近距離","2002","420","1","0","2000420","0","9","10","0","0"
"102002430","","【73】吸魂_ガード_片手","2002","430","1","0","2000430","0","0","0","0","0"
"102002440","","【73】吸魂_ガード_両手","2002","440","1","0","2000440","0","0","0","0","0"
"102002450","","【73】吸魂_パリィ","2002","450","1","0","2000450","0","0","15","0","0"
"102002490","","【73】吸魂_落下投げ","2002","490","1","0","2000490","0","1","20","0","0"
"102002500","","【73】吸魂_背後","2002","500","1","0","2000500","0","1","20","0","0"
"102002505","","【73】吸魂_強化背後","2002","505","1","0","2000505","0","1","20","0","0"
"102002510","","【73】吸魂_パリィ後","2002","510","1","0","2000510","0","1","20","0","0"
"102002515","","【73】吸魂_強化パリィ後","2002","515","1","0","2000515","0","1","5","0","0"
"102002516","","【73】吸魂_強化パリィ後_二段目","2002","516","1","0","2000516","0","1","15","0","0"
"102002520","","【73】吸魂_片手ダッシュ","2002","520","1","0","2000520","0","1","20","0","0"
"102002530","","【73】吸魂_両手ダッシュ","2002","530","1","0","2000530","0","1","32","0","0"
"102002540","","【73】吸魂_片手ステップ前","2002","540","1","0","2000540","0","1","14","0","0"
"102002580","","【73】吸魂_両手ステップ前","2002","580","1","0","2000580","0","1","24","0","0"
"102002600","","【73】吸魂_パリィガード","2002","600","1","0","2000600","0","0","0","0","0"
"102003000","","【120】死霊のナイフ_片手通常1","2003","0","1","0","2000000","0","1","14","0","0"
"102003010","","【120】死霊のナイフ_片手通常2","2003","10","1","0","2000010","0","1","14","0","0"
"102003020","","【120】死霊のナイフ_片手通常3","2003","20","1","0","2000020","0","1","14","0","0"
"102003030","","【120】死霊のナイフ_片手ジャンプ1","2003","30","1","0","2000030","0","1","40","0","0"
"102003040","","【120】死霊のナイフ_片手落下ループ","2003","40","1","0","2000040","0","1","0","0","0"
"102003050","","【120】死霊のナイフ_片手落下着地","2003","50","1","0","2000050","0","1","40","0","0"
"102003100","","【120】死霊のナイフ_片手タメ1","2003","100","1","0","2003100","0","1","15","0","0"
"102003110","","【120】死霊のナイフ_片手タメ2","2003","110","1","0","2003110","0","1","10","0","0"
"102003200","","【120】死霊のナイフ_両手通常1","2003","200","1","0","2000200","0","1","24","0","0"
"102003210","","【120】死霊のナイフ_両手通常2","2003","210","1","0","2000210","0","1","24","0","0"
"102003220","","【120】死霊のナイフ_両手通常3","2003","220","1","0","2000220","0","1","24","0","0"
"102003230","","【120】死霊のナイフ_両手ジャンプ1","2003","230","1","0","2000230","0","1","50","0","0"
"102003240","","【120】死霊のナイフ_両手落下ループ","2003","240","1","0","2000240","0","1","0","0","0"
"102003250","","【120】死霊のナイフ_両手落下着地","2003","250","1","0","2000250","0","1","50","0","0"
"102003300","","【120】死霊のナイフ_両手タメ1","2003","300","1","0","2003300","0","1","20","0","0"
"102003310","","【120】死霊のナイフ_両手タメ2","2003","310","1","0","2003310","0","1","12","0","0"
"102003400","","【120】死霊のナイフ_左手","2003","400","1","0","2000400","0","2","14","0","0"
"102003410","","【120】死霊のナイフ_片手近距離","2003","410","1","0","2000410","0","9","10","0","0"
"102003420","","【120】死霊のナイフ_両手近距離","2003","420","1","0","2000420","0","9","10","0","0"
"102003430","","【120】死霊のナイフ_ガード_片手","2003","430","1","0","2000430","0","0","0","0","0"
"102003440","","【120】死霊のナイフ_ガード_両手","2003","440","1","0","2000440","0","0","0","0","0"
"102003450","","【120】死霊のナイフ_パリィ","2003","450","1","0","2000450","0","0","15","0","0"
"102003490","","【120】死霊のナイフ_落下投げ","2003","490","1","0","2000490","0","1","20","0","0"
"102003500","","【120】死霊のナイフ_背後","2003","500","1","0","2000500","0","1","20","0","0"
"102003505","","【120】死霊のナイフ_強化背後","2003","505","1","0","2000505","0","1","20","0","0"
"102003510","","【120】死霊のナイフ_パリィ後","2003","510","1","0","2000510","0","1","20","0","0"
"102003515","","【120】死霊のナイフ_強化パリィ後","2003","515","1","0","2000515","0","1","5","0","0"
"102003516","","【120】死霊のナイフ_強化パリィ後_二段目","2003","516","1","0","2000516","0","1","15","0","0"
"102003520","","【120】死霊のナイフ_片手ダッシュ","2003","520","1","0","2000520","0","1","20","0","0"
"102003530","","【120】死霊のナイフ_両手ダッシュ","2003","530","1","0","2000530","0","1","32","0","0"
"102003540","","【120】死霊のナイフ_片手ステップ前","2003","540","1","0","2000540","0","1","14","0","0"
"102003580","","【120】死霊のナイフ_両手ステップ前","2003","580","1","0","2000580","0","1","24","0","0"
"102003600","","【120】死霊のナイフ_パリィガード","2003","600","1","0","2000600","0","0","0","0","0"
"102004000","","【130】キアランの短剣_片手通常1","2004","0","1","0","2000000","0","1","14","0","0"
"102004010","","【130】キアランの短剣_片手通常2","2004","10","1","0","2000010","0","1","14","0","0"
"102004020","","【130】キアランの短剣_片手通常3","2004","20","1","0","2000020","0","1","14","0","0"
"102004030","","【130】キアランの短剣_片手ジャンプ1","2004","30","1","0","2000030","0","1","40","0","0"
"102004040","","【130】キアランの短剣_片手落下ループ","2004","40","1","0","2000040","0","1","0","0","0"
"102004050","","【130】キアランの短剣_片手落下着地","2004","50","1","0","2000050","0","1","40","0","0"
"102004100","","【130】キアランの短剣_片手タメ1","2004","100","1","0","2004100","0","1","45","0","0"
"102004110","","【130】キアランの短剣_片手タメ2","2004","110","1","0","2004110","0","1","45","0","0"
"102004200","","【130】キアランの短剣_両手通常1","2004","200","1","0","2000200","0","1","24","0","0"
"102004210","","【130】キアランの短剣_両手通常2","2004","210","1","0","2000210","0","1","24","0","0"
"102004220","","【130】キアランの短剣_両手通常3","2004","220","1","0","2000220","0","1","24","0","0"
"102004230","","【130】キアランの短剣_両手ジャンプ1","2004","230","1","0","2000230","0","1","50","0","0"
"102004240","","【130】キアランの短剣_両手落下ループ","2004","240","1","0","2000240","0","1","0","0","0"
"102004250","","【130】キアランの短剣_両手落下着地","2004","250","1","0","2000250","0","1","50","0","0"
"102004300","","【130】キアランの短剣_両手タメ1","2004","300","1","0","2004300","0","1","65","0","0"
"102004310","","【130】キアランの短剣_両手タメ2","2004","310","1","0","2004310","0","1","65","0","0"
"102004400","","【130】キアランの短剣_左手","2004","400","1","0","2000400","0","2","14","0","0"
"102004410","","【130】キアランの短剣_片手近距離","2004","410","1","0","2000410","0","9","10","0","0"
"102004420","","【130】キアランの短剣_両手近距離","2004","420","1","0","2000420","0","9","10","0","0"
"102004430","","【130】キアランの短剣_ガード_片手","2004","430","1","0","2000430","0","0","0","0","0"
"102004440","","【130】キアランの短剣_ガード_両手","2004","440","1","0","2000440","0","0","0","0","0"
"102004450","","【130】キアランの短剣_パリィ","2004","450","1","0","2000450","0","0","15","0","0"
"102004490","","【130】キアランの短剣_落下投げ","2004","490","1","0","2000490","0","1","20","0","0"
"102004500","","【130】キアランの短剣_背後","2004","500","1","0","2000500","0","1","20","0","0"
"102004505","","【130】キアランの短剣_強化背後","2004","505","1","0","2000505","0","1","20","0","0"
"102004510","","【130】キアランの短剣_パリィ後","2004","510","1","0","2000510","0","1","20","0","0"
"102004515","","【130】キアランの短剣_強化パリィ後","2004","515","1","0","2000515","0","1","5","0","0"
"102004516","","【130】キアランの短剣_強化パリィ後_二段目","2004","516","1","0","2000516","0","1","15","0","0"
"102004520","","【130】キアランの短剣_片手ダッシュ","2004","520","1","0","2000520","0","1","20","0","0"
"102004530","","【130】キアランの短剣_両手ダッシュ","2004","530","1","0","2000530","0","1","32","0","0"
"102004540","","【130】キアランの短剣_片手ステップ前","2004","540","1","0","2000540","0","1","14","0","0"
"102004580","","【130】キアランの短剣_両手ステップ前","2004","580","1","0","2000580","0","1","24","0","0"
"102004600","","【130】キアランの短剣_パリィガード","2004","600","1","0","2000600","0","0","0","0","0"
"102300000","","直剣_片手通常1","2300","0","1","0","2300000","0","1","20","0","0"
"102300010","","直剣_片手通常2","2300","10","1","0","2300010","0","1","20","0","0"
"102300020","","直剣_片手通常3","2300","20","1","0","2300020","0","1","20","0","0"
"102300030","","直剣_片手ジャンプ1","2300","30","1","0","2300030","0","1","52","0","0"
"102300040","","直剣_片手落下ループ","2300","40","1","0","2300040","0","1","0","0","0"
"102300050","","直剣_片手落下着地","2300","50","1","0","2300050","0","1","52","0","0"
"102300100","","直剣_片手タメ1","2300","100","1","0","2300100","0","1","45","0","0"
"102300110","","直剣_片手タメ2","2300","110","1","0","2300110","0","1","35","0","0"
"102300200","","直剣_両手通常1","2300","200","1","0","2300200","0","1","30","0","0"
"102300210","","直剣_両手通常2","2300","210","1","0","2300210","0","1","30","0","0"
"102300220","","直剣_両手通常3","2300","220","1","0","2300220","0","1","30","0","0"
"102300230","","直剣_両手ジャンプ1","2300","230","1","0","2300230","0","1","60","0","0"
"102300240","","直剣_両手落下ループ","2300","240","1","0","2300240","0","1","0","0","0"
"102300250","","直剣_両手落下着地","2300","250","1","0","2300250","0","1","60","0","0"
"102300300","","直剣_両手タメ1","2300","300","1","0","2300300","0","1","40","0","0"
"102300310","","直剣_両手タメ2","2300","310","1","0","2300310","0","1","40","0","0"
"102300400","","直剣_左手","2300","400","1","0","2300400","0","2","20","0","0"
"102300410","","直剣_片手近距離","2300","410","1","0","2300410","0","9","10","0","0"
"102300420","","直剣_両手近距離","2300","420","1","0","2300420","0","9","10","0","0"
"102300430","","直剣_ガード_片手","2300","430","1","0","2300430","0","0","0","0","0"
"102300440","","直剣_ガード_両手","2300","440","1","0","2300440","0","0","0","0","0"
"102300450","","直剣_パリィ","2300","450","1","0","2300450","0","0","15","0","0"
"102300490","","直剣_落下投げ","2300","490","1","0","2300490","0","1","20","0","0"
"102300500","","直剣_背後","2300","500","1","0","2300500","0","1","20","0","0"
"102300505","","直剣_強化背後","2300","505","1","0","2300505","0","1","20","0","0"
"102300510","","直剣_パリィ後","2300","510","1","0","2300510","0","1","20","0","0"
"102300515","","直剣_強化パリィ後","2300","515","1","0","2300515","0","1","5","0","0"
"102300516","","直剣_強化パリィ後_二段目","2300","516","1","0","2300516","0","1","15","0","0"
"102300520","","直剣_片手ダッシュ","2300","520","1","0","2300520","0","1","25","0","0"
"102300530","","直剣_両手ダッシュ","2300","530","1","0","2300530","0","1","35","0","0"
"102300540","","直剣_片手ステップ前","2300","540","1","0","2300540","0","1","20","0","0"
"102300580","","直剣_両手ステップ前","2300","580","1","0","2300580","0","1","35","0","0"
"102300600","","直剣_パリィガード","2300","600","1","0","2300600","0","0","0","0","0"
"102301000","","【53】ブロード_片手通常1","2301","0","1","0","2301000","0","1","20","0","0"
"102301010","","【53】ブロード_片手通常2","2301","10","1","0","2301010","0","1","20","0","0"
"102301020","","【53】ブロード_片手通常3","2301","20","1","0","2301020","0","1","20","0","0"
"102301030","","【53】ブロード_片手ジャンプ1","2301","30","1","0","2301030","0","1","52","0","0"
"102301040","","【53】ブロード_片手落下ループ","2301","40","1","0","2301040","0","1","0","0","0"
"102301050","","【53】ブロード_片手落下着地","2301","50","1","0","2301050","0","1","52","0","0"
"102301100","","【53】ブロード_片手タメ1","2301","100","1","0","2301100","0","1","32","0","0"
"102301110","","【53】ブロード_片手タメ2","2301","110","1","0","2301110","0","1","32","0","0"
"102301200","","【53】ブロード_両手通常1","2301","200","1","0","2301200","0","1","30","0","0"
"102301210","","【53】ブロード_両手通常2","2301","210","1","0","2301210","0","1","30","0","0"
"102301220","","【53】ブロード_両手通常3","2301","220","1","0","2301220","0","1","30","0","0"
"102301230","","【53】ブロード_両手ジャンプ1","2301","230","1","0","2301230","0","1","60","0","0"
"102301240","","【53】ブロード_両手落下ループ","2301","240","1","0","2301240","0","1","0","0","0"
"102301250","","【53】ブロード_両手落下着地","2301","250","1","0","2301250","0","1","60","0","0"
"102301300","","【53】ブロード_両手タメ1","2301","300","1","0","2301300","0","1","40","0","0"
"102301310","","【53】ブロード_両手タメ2","2301","310","1","0","2301310","0","1","40","0","0"
"102301400","","【53】ブロード_左手","2301","400","1","0","2301400","0","2","20","0","0"
"102301410","","【53】ブロード_片手近距離","2301","410","1","0","2300410","0","9","10","0","0"
"102301420","","【53】ブロード_両手近距離","2301","420","1","0","2300420","0","9","10","0","0"
"102301430","","【53】ブロード_ガード_片手","2301","430","1","0","2300430","0","0","0","0","0"
"102301440","","【53】ブロード_ガード_両手","2301","440","1","0","2300440","0","0","0","0","0"
"102301450","","【53】ブロード_パリィ","2301","450","1","0","2300450","0","0","15","0","0"
"102301490","","【53】ブロード_落下投げ","2301","490","1","0","2301490","0","1","20","0","0"
"102301500","","【53】ブロード_背後","2301","500","1","0","2301500","0","1","20","0","0"
"102301505","","【53】ブロード_強化背後","2301","505","1","0","2301505","0","1","20","0","0"
"102301510","","【53】ブロード_パリィ後","2301","510","1","0","2301510","0","1","20","0","0"
"102301515","","【53】ブロード_強化パリィ後","2301","515","1","0","2301515","0","1","5","0","0"
"102301516","","【53】ブロード_強化パリィ後_二段目","2301","516","1","0","2301516","0","1","15","0","0"
"102301520","","【53】ブロード_片手ダッシュ","2301","520","1","0","2301520","0","1","20","0","0"
"102301530","","【53】ブロード_両手ダッシュ","2301","530","1","0","2301530","0","1","30","0","0"
"102301540","","【53】ブロード_片手ステップ前","2301","540","1","0","2301540","0","1","20","0","0"
"102301580","","【53】ブロード_両手ステップ前","2301","580","1","0","2301580","0","1","35","0","0"
"102301600","","【53】ブロード_パリィガード","2301","600","1","0","2300600","0","0","0","0","0"
"102302000","","【54】刺突直剣_片手通常1","2302","0","1","0","2300000","0","1","20","0","0"
"102302010","","【54】刺突直剣_片手通常2","2302","10","1","0","2300010","0","1","20","0","0"
"102302020","","【54】刺突直剣_片手通常3","2302","20","1","0","2300020","0","1","20","0","0"
"102302030","","【54】刺突直剣_片手ジャンプ1","2302","30","1","0","2302030","0","1","52","0","0"
"102302040","","【54】刺突直剣_片手落下ループ","2302","40","1","0","2300040","0","1","0","0","0"
"102302050","","【54】刺突直剣_片手落下着地","2302","50","1","0","2300050","0","1","52","0","0"
"102302100","","【54】刺突直剣_片手タメ1","2302","100","1","0","2302100","0","1","48","0","0"
"102302110","","【54】刺突直剣_片手タメ2","2302","110","1","0","2302110","0","1","48","0","0"
"102302200","","【54】刺突直剣_両手通常1","2302","200","1","0","2300200","0","1","30","0","0"
"102302210","","【54】刺突直剣_両手通常2","2302","210","1","0","2300210","0","1","30","0","0"
"102302220","","【54】刺突直剣_両手通常3","2302","220","1","0","2300220","0","1","30","0","0"
"102302230","","【54】刺突直剣_両手ジャンプ1","2302","230","1","0","2302230","0","1","60","0","0"
"102302240","","【54】刺突直剣_両手落下ループ","2302","240","1","0","2300240","0","1","0","0","0"
"102302250","","【54】刺突直剣_両手落下着地","2302","250","1","0","2300250","0","1","60","0","0"
"102302300","","【54】刺突直剣_両手タメ1","2302","300","1","0","2302300","0","1","55","0","0"
"102302310","","【54】刺突直剣_両手タメ2","2302","310","1","0","2302310","0","1","55","0","0"
"102302400","","【54】刺突直剣_左手","2302","400","1","0","2300400","0","2","20","0","0"
"102302410","","【54】刺突直剣_片手近距離","2302","410","1","0","2300410","0","9","10","0","0"
"102302420","","【54】刺突直剣_両手近距離","2302","420","1","0","2300420","0","9","10","0","0"
"102302430","","【54】刺突直剣_ガード_片手","2302","430","1","0","2300430","0","0","0","0","0"
"102302440","","【54】刺突直剣_ガード_両手","2302","440","1","0","2300440","0","0","0","0","0"
"102302450","","【54】刺突直剣_パリィ","2302","450","1","0","2300450","0","0","15","0","0"
"102302490","","【54】刺突直剣_落下投げ","2302","490","1","0","2300490","0","1","20","0","0"
"102302500","","【54】刺突直剣_背後","2302","500","1","0","2300500","0","1","20","0","0"
"102302505","","【54】刺突直剣_強化背後","2302","505","1","0","2300505","0","1","20","0","0"
"102302510","","【54】刺突直剣_パリィ後","2302","510","1","0","2300510","0","1","20","0","0"
"102302515","","【54】刺突直剣_強化パリィ後","2302","515","1","0","2300515","0","1","5","0","0"
"102302516","","【54】刺突直剣_強化パリィ後_二段目","2302","516","1","0","2300516","0","1","15","0","0"
"102302520","","【54】刺突直剣_片手ダッシュ","2302","520","1","0","2300520","0","1","25","0","0"
"102302530","","【54】刺突直剣_両手ダッシュ","2302","530","1","0","2300530","0","1","35","0","0"
"102302540","","【54】刺突直剣_片手ステップ前","2302","540","1","0","2300540","0","1","20","0","0"
"102302580","","【54】刺突直剣_両手ステップ前","2302","580","1","0","2302580","0","1","40","0","0"
"102302600","","【54】刺突直剣_パリィガード","2302","600","1","0","2300600","0","0","0","0","0"
"102303000","","【55】英雄の剣_片手通常1","2303","0","1","0","2300000","0","1","20","0","0"
"102303010","","【55】英雄の剣_片手通常2","2303","10","1","0","2300010","0","1","20","0","0"
"102303020","","【55】英雄の剣_片手通常3","2303","20","1","0","2300020","0","1","20","0","0"
"102303030","","【55】英雄の剣_片手ジャンプ1","2303","30","1","0","2300030","0","1","52","0","0"
"102303040","","【55】英雄の剣_片手落下ループ","2303","40","1","0","2300040","0","1","0","0","0"
