Id	TranslatedName	Name	PhysicsAtkRate	MagicAtkRate	FireAtkRate	ThunderAtkRate	StaminaAtkRate	SaWeaponAtkRate	SaDurabilityRate	CorrectStrengthRate	CorrectAgilityRate	CorrectMagicRate	CorrectFaithRate	PhysicsGuardCutRate	MagicGuardCutRate	FireGuardCutRate	ThunderGuardCutRate	PoisonGuardResistRate	DiseaseGuardResistRate	BloodGuardResistRate	CurseGuardResistRate	StaminaGuardDefRate	SpEffectId1	SpEffectId2	SpEffectId3	ResidentSpEffectId1	ResidentSpEffectId2	ResidentSpEffectId3	MaterialSetId
13	Normal +13	???13	2.3	1	1	1	2.3	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	13
14	Normal +14	???14	2.4	1	1	1	2.4	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	14
15	Normal +15	???15	2.5	1	1	1	2.5	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	15
100	Crystal	??	2.2	1	1	1	2	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
101	Crystal +1	???1	2.3	1	1	1	2.1	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
102	Crystal +2	???2	2.4	1	1	1	2.2	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
103	Crystal +3	???3	2.5	1	1	1	2.3	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
104	Crystal +4	???4	2.6	1	1	1	2.4	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
105	Crystal +5	???5	2.7	1	1	1	2.5	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
200	Thunder	?	1.8	1	1	1.8	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
201	Thunder +1	??1	1.94	1	1	1.94	2.1	1	1	1	1	1	1	1	1	1	1.08	1	1	1	1	1	0	0	0	0	0	0	1
202	Thunder +2	??2	2.08	1	1	2.08	2.2	1	1	1	1	1	1	1	1	1	1.16	1	1	1	1	1	0	0	0	0	0	0	2
203	Thunder +3	??3	2.22	1	1	2.22	2.3	1	1	1	1	1	1	1	1	1	1.24	1	1	1	1	1	0	0	0	0	0	0	3
204	Thunder +4	??4	2.36	1	1	2.36	2.4	1	1	1	1	1	1	1	1	1	1.32	1	1	1	1	1	0	0	0	0	0	0	4
205	Thunder +5	??5	2.5	1	1	2.5	2.5	1	1	1	1	1	1	1	1	1	1.4	1	1	1	1	1	0	0	0	0	0	0	5
300	Crude	??	1.5	1	1	1	1.7	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
301	Crude +1	???1	1.6	1	1	1	1.8	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
302	Crude +2	???2	1.7	1	1	1	1.9	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
303	Crude +3	???3	1.8	1	1	1	2	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
304	Crude +4	???4	1.9	1	1	1	2.1	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
305	Crude +5	???5	2	1	1	1	2.2	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
400	A magic	??A	1.5	1.5	1	1	1.5	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
401	Magic A + 1	??A?1	1.6	1.6	1	1	1.6	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
402	Magic A + 2	??A?2	1.7	1.7	1	1	1.7	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
403	Magic A + 3	??A?3	1.8	1.8	1	1	1.8	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
404	Magic A + 4	??A?4	1.9	1.9	1	1	1.9	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
405	Magic A + 5	??A?5	2	2	1	1	2	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
406	Magic A + 6	??A?6	2.1	2.1	1	1	2.1	1	1	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	6
407	Magic A + 7	??A?7	2.2	2.2	1	1	2.2	1	1	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	7
408	Magic A + 8	??A?8	2.3	2.3	1	1	2.3	1	1	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	8
409	Magic A + 9	??A?9	2.4	2.4	1	1	2.4	1	1	1.2	1.2	1.2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	9
410	Magic A + 10	??A?10	2.5	2.5	1	1	2.5	1	1	1.2	1.2	1.2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	10
500	Magic B	??B	2	2	1	1	2	1	1	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
501	Magic B + 1	??B?1	2.08	2.06	1	1	2.1	1	1	1.15	1.15	1.28	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
502	Magic B + 2	??B?2	2.16	2.12	1	1	2.2	1	1	1.15	1.15	1.41	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
503	Magic B + 3	??B?3	2.24	2.18	1	1	2.3	1	1	1.15	1.15	1.54	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
504	Magic B + 4	??B?4	2.32	2.24	1	1	2.4	1	1	1.2	1.2	1.67	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
505	Magic B + 5	??B?5	2.4	2.32	1	1	2.5	1	1	1.2	1.2	1.8	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
600	Sacred	??	1.5	1.5	1	1	1.5	1	1	1.1	1.1	1	1.1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
601	Sacred +1	???1	1.6	1.6	1	1	1.6	1	1	1.1	1.1	1	1.1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
602	Sacred +2	???2	1.7	1.7	1	1	1.7	1	1	1.1	1.1	1	1.1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
603	Sacred +3	???3	1.8	1.8	1	1	1.8	1	1	1.1	1.1	1	1.1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
604	Sacred +4	???4	1.9	1.9	1	1	1.9	1	1	1.1	1.1	1	1.1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
605	Sacred +5	???5	2	2	1	1	2	1	1	1.1	1.1	1	1.1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
606	Sacred +6	???6	2.1	2.1	1	1	2.1	1	1	1.15	1.15	1	1.15	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	6
607	Sacred +7	???7	2.2	2.2	1	1	2.2	1	1	1.15	1.15	1	1.15	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	7
608	Sacred +8	???8	2.3	2.3	1	1	2.3	1	1	1.15	1.15	1	1.15	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	8
609	Sacred +9	???9	2.4	2.4	1	1	2.4	1	1	1.2	1.2	1	1.2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	9
610	Sacred +10	???10	2.5	2.5	1	1	2.5	1	1	1.2	1.2	1	1.2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	10
700	Dark	??	2	2	1	1	2	1	1	1.15	1.15	1	1.15	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
701	Dark +1	???1	2.12	2.1	1	1	2.1	1	1	1.15	1.15	1	1.15	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
702	Dark +2	???2	2.24	2.2	1	1	2.2	1	1	1.15	1.15	1	1.15	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
703	Dark +3	???3	2.36	2.3	1	1	2.3	1	1	1.15	1.15	1	1.15	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
704	Dark +4	???4	2.48	2.4	1	1	2.4	1	1	1.2	1.2	1	1.2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
705	Dark +5	???5	2.6	2.5	1	1	2.5	1	1	1.2	1.2	1	1.2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
800	Flame	?	1.3	1	1.3	1	1.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
801	Flame +1	??1	1.4	1	1.4	1	1.6	1	1	1	1	1	1	1	1	1.01	1	1	1	1	1	1	0	0	0	0	0	0	1
802	Flame +2	??2	1.5	1	1.5	1	1.7	1	1	1	1	1	1	1	1	1.02	1	1	1	1	1	1	0	0	0	0	0	0	2
803	Flame +3	??3	1.6	1	1.6	1	1.8	1	1	1	1	1	1	1	1	1.03	1	1	1	1	1	1	0	0	0	0	0	0	3
804	Flame +4	??4	1.7	1	1.7	1	1.9	1	1	1	1	1	1	1	1	1.04	1	1	1	1	1	1	0	0	0	0	0	0	4
805	Flame +5	??5	1.8	1	1.8	1	2	1	1	1	1	1	1	1	1	1.05	1	1	1	1	1	1	0	0	0	0	0	0	5
806	Flame +6	??6	1.92	1	1.92	1	2.1	1	1	1	1	1	1	1	1	1.06	1	1	1	1	1	1	0	0	0	0	0	0	6
807	Flame +7	??7	2.04	1	2.04	1	2.2	1	1	1	1	1	1	1	1	1.07	1	1	1	1	1	1	0	0	0	0	0	0	7
808	Flame +8	??8	2.16	1	2.16	1	2.3	1	1	1	1	1	1	1	1	1.08	1	1	1	1	1	1	0	0	0	0	0	0	8
809	Flame +9	??9	2.28	1	2.28	1	2.4	1	1	1	1	1	1	1	1	1.09	1	1	1	1	1	1	0	0	0	0	0	0	9
810	Flame +10	??10	2.4	1	2.4	1	2.5	1	1	1	1	1	1	1	1	1.1	1	1	1	1	1	1	0	0	0	0	0	0	10
900	Flame of chaos	????	1.8	1	1.8	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
901	Chaos of flame +1	?????1	1.9	1	1.9	1	2.1	1	1	1	1	1	1	1	1	1.02	1	1	1	1	1	1	0	0	0	0	0	0	1
902	Chaos of flame +2	?????2	2	1	2	1	2.2	1	1	1	1	1	1	1	1	1.04	1	1	1	1	1	1	0	0	0	0	0	0	2
903	Chaos of flame +3	?????3	2.1	1	2.1	1	2.3	1	1	1	1	1	1	1	1	1.06	1	1	1	1	1	1	0	0	0	0	0	0	3
904	Chaos of flame +4	?????4	2.2	1	2.2	1	2.4	1	1	1	1	1	1	1	1	1.08	1	1	1	1	1	1	0	0	0	0	0	0	4
905	Chaos of flame +5	?????5	2.3	1	2.3	1	2.5	1	1	1	1	1	1	1	1	1.1	1	1	1	1	1	1	0	0	0	0	0	0	5
1000	Daemon	????	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
1001	Daemon +1	?????1	1.1	1.1	1.1	1.1	2.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
1002	Daemon +2	?????2	1.2	1.2	1.2	1.2	2.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
1003	Daemon +3	?????3	1.3	1.3	1.3	1.3	2.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
1004	Daemon +4	?????4	1.4	1.4	1.4	1.4	2.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
1005	Daemon +5	?????5	1.5	1.5	1.5	1.5	2.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
1100	Dragon	????	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
1101	Dragon +1	?????1	1.1	1.1	1.1	1.1	2.1	1	1	1.05	1.05	1.05	1.05	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
1102	Dragon +2	?????2	1.2	1.2	1.2	1.2	2.2	1	1	1.1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
1103	Dragon +3	?????3	1.3	1.3	1.3	1.3	2.3	1	1	1.1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
1104	Dragon +4	?????4	1.4	1.4	1.4	1.4	2.4	1	1	1.15	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
1105	Dragon +5	?????5	1.5	1.5	1.5	1.5	2.5	1	1	1.2	1.2	1.2	1.2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
1200	Special	??	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
1201	Special +1	???1	1.1	1.1	1.1	1.1	2.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
1202	Special +2	???2	1.2	1.2	1.2	1.2	2.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
1203	Special +3	???3	1.3	1.3	1.3	1.3	2.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
1204	Special +4	???4	1.4	1.4	1.4	1.4	2.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
1205	Special +5	???5	1.5	1.5	1.5	1.5	2.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
1300	[Shield] special	?????	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
1301	[Shield] special +1	??????1	1.05	1.05	1.05	1.05	2.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.05	0	0	0	0	0	0	1
1302	[Shield] special +2	??????2	1.1	1.1	1.1	1.1	2.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.1	0	0	0	0	0	0	2
1303	[Shield] special +3	??????3	1.15	1.15	1.15	1.15	2.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.15	0	0	0	0	0	0	3
1304	[Shield] special +4	??????4	1.2	1.2	1.2	1.2	2.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	0	0	0	0	0	0	4
1305	[Shield] special +5	??????5	1.25	1.25	1.25	1.25	2.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.3	0	0	0	0	0	0	5
1400	[Shield] special	?????	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
1401	[Shield] special +1	??????1	1.05	1.05	1.05	1.05	2.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.04	0	0	0	0	0	0	1
1402	[Shield] special +2	??????2	1.1	1.1	1.1	1.1	2.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.08	0	0	0	0	0	0	2
1403	[Shield] special +3	??????3	1.15	1.15	1.15	1.15	2.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.12	0	0	0	0	0	0	3
1404	[Shield] special +4	??????4	1.2	1.2	1.2	1.2	2.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.16	0	0	0	0	0	0	4
1405	[Shield] special +5	??????5	1.25	1.25	1.25	1.25	2.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	0	0	0	0	0	0	5
1500	[Shield] special	?????	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
1501	[Shield] special +1	??????1	1.05	1.05	1.05	1.05	2.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
1502	[Shield] special +2	??????2	1.1	1.1	1.1	1.1	2.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
1503	[Shield] special +3	??????3	1.15	1.15	1.15	1.15	2.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
1504	[Shield] special +4	??????4	1.2	1.2	1.2	1.2	2.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
1505	[Shield] special +5	??????5	1.25	1.25	1.25	1.25	2.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
2000	[Club dedicated Normally	?????????	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
2001	[Club dedicated Normally +1	??????????1	1.1	1	1	1	1.1	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
2002	[Club dedicated Normally +2	??????????2	1.2	1	1	1	1.2	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
2003	[Club dedicated Normally +3	??????????3	1.3	1	1	1	1.3	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
2004	[Club dedicated Normally +4	??????????4	1.4	1	1	1	1.4	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
2005	[Club dedicated Normally +5	??????????5	1.5	1	1	1	1.5	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
2006	[Club dedicated Normally +6	??????????6	1.57	1	1	1	1.6	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	6
2007	[Club dedicated Normally +7	??????????7	1.64	1	1	1	1.7	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	7
2008	[Club dedicated Normally +8	??????????8	1.71	1	1	1	1.8	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	8
2009	[Club dedicated Normally +9	??????????9	1.78	1	1	1	1.9	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	9
2010	[Club dedicated Normally +10	??????????10	1.85	1	1	1	2	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	10
2011	[Club dedicated Normally +11	??????????11	1.9	1	1	1	2.1	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	11
2012	[Club dedicated Normally +12	??????????12	1.95	1	1	1	2.2	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	12
2013	[Club dedicated Normally +13	??????????13	2	1	1	1	2.3	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	13
2014	[Club dedicated Normally +14	??????????14	2.05	1	1	1	2.4	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	14
2015	[Club dedicated Normally +15	??????????15	2.1	1	1	1	2.5	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	15
2100	[Club-only] crystal	?????????	2	1	1	1	2	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
2101	[Club-only] crystal +1	??????????1	2.05	1	1	1	2.1	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
2102	[Club-only] crystal +2	??????????2	2.1	1	1	1	2.2	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
2103	[Club-only] crystal +3	??????????3	2.15	1	1	1	2.3	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
2104	[Club-only] crystal +4	??????????4	2.2	1	1	1	2.4	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
2105	[Club-only] crystal +5	??????????5	2.25	1	1	1	2.5	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
2200	[Club-only] thunder	????????	1.71	1	1	1.71	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
2201	[Club-only] thunder +1	?????????1	1.77	1	1	1.77	2.1	1	1	1	1	1	1	1	1	1	1.08	1	1	1	1	1	0	0	0	0	0	0	1
2202	[Club-only] thunder +2	?????????2	1.83	1	1	1.83	2.2	1	1	1	1	1	1	1	1	1	1.16	1	1	1	1	1	0	0	0	0	0	0	2
2203	[Club-only] thunder +3	?????????3	1.89	1	1	1.89	2.3	1	1	1	1	1	1	1	1	1	1.24	1	1	1	1	1	0	0	0	0	0	0	3
2204	[Club-only] thunder +4	?????????4	1.95	1	1	1.95	2.4	1	1	1	1	1	1	1	1	1	1.32	1	1	1	1	1	0	0	0	0	0	0	4
2205	[Club-only] thunder +5	?????????5	2.04	1	1	2.04	2.5	1	1	1	1	1	1	1	1	1	1.4	1	1	1	1	1	0	0	0	0	0	0	5
2300	[Club dedicated Crude	?????????	1.5	1	1	1	1.7	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
2301	[Club-only] crude +1	??????????1	1.57	1	1	1	1.8	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
2302	[Club dedicated Crude +2	??????????2	1.64	1	1	1	1.9	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
2303	[Club dedicated Crude +3	??????????3	1.71	1	1	1	2	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
2304	[Club-only] crude +4	??????????4	1.78	1	1	1	2.1	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
2305	[Club-only] crude +5	??????????5	1.85	1	1	1	2.2	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
2400	[Club-only] magic A	?????????A	1.5	1.5	1	1	1.5	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
2401	[Club-only] magic A + 1	?????????A?1	1.57	1.57	1	1	1.6	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
2402	[Club-only] magic A + 2	?????????A?2	1.64	1.64	1	1	1.7	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
2403	[Club-only] magic A + 3	?????????A?3	1.71	1.71	1	1	1.8	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
2404	[Club-only] magic A + 4	?????????A?4	1.78	1.78	1	1	1.9	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
2405	[Club-only] magic A + 5	?????????A?5	1.85	1.85	1	1	2	1	1	1.1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
2406	[Club-only] magic A + 6	?????????A?6	1.9	1.9	1	1	2.1	1	1	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	6
2407	[Club-only] magic A + 7	?????????A?7	1.95	1.95	1	1	2.2	1	1	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	7
2408	[Club-only] magic A + 8	?????????A?8	2	2	1	1	2.3	1	1	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	8
2409	[Club-only] magic A + 9	?????????A?9	2.05	2.05	1	1	2.4	1	1	1.2	1.2	1.2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	9
2410	[Club-only] magic A + 10	?????????A?10	2.1	2.1	1	1	2.5	1	1	1.2	1.2	1.2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	10
2500	[Club-only] magic B	?????????B	1.8	1.8	1	1	2	1	1	1.15	1.15	1.15	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
2501	[Club-only] magic B + 1	?????????B?1	1.74	1.73	1	1	2.1	1	1	1.15	1.15	1.28	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
2502	[Club-only] magic B + 2	?????????B?2	1.79	1.78	1	1	2.2	1	1	1.15	1.15	1.41	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
2503	[Club-only] magic B + 3	?????????B?3	1.84	1.83	1	1	2.3	1	1	1.15	1.15	1.54	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
2504	[Club-only] magic B + 4	?????????B?4	1.89	1.88	1	1	2.4	1	1	1.2	1.2	1.67	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
