OldSortId,FixPrice,EquipModelId,WanderingEquipId,DurabilityMax,EnglishDescription,EnglishName,Durability,EnglishType,BasicPrice,Weight,VagrantItemEneDropItemLotId,Id,Name,TranslatedName,VagrantBonusEneDropItemLotId,SellValue,SortId,VagrantItemLotId,EquipModelCategory,EquipModelGender,BehaviorVariationId,WeaponCategory,SpAtkcategory,MotionCategory,GuardmotionCategory,WepmotionOneHandId,WepmotionBothHandId,IsDurabilityDivergence,RightHandEquipable,LeftHandEquipable,BothHandEquipable,ArrowSlotEquipable,BoltSlotEquipable,EnableGuard,EnableParry,EnableMagic,EnableSorcery,EnableMiracle,EnableVowMagic,LanternWep,IsVersusGhostWep,SpAttribute,IsDragonSlayer,IsDarkHand,DisableMultiDropShare,SimpleModelForDlc,AtkMaterial,DefMaterial,DefSfxMaterial,IconId,IsNormalAttackType,IsBlowAttackType,IsSlashAttackType,IsThrustAttackType,WeaponWeightRate,IsEnhance,ProperStrength,ProperAgility,ProperMagic,ProperFaith,OverStrength,AttackThrowEscape,ParryDamageLife,AttackBaseParry,DefenseBaseParry,GuardBaseRepel,AttackBaseRepel,IsDeposit,SlashGuardCutRate,BlowGuardCutRate,ThrustGuardCutRate,IsLuckCorrect,GuardCutCancelRate,GuardAngle,GuardLevel,AttackBasePhysics,AttackBaseMagic,AttackBaseFire,AttackBaseThunder,AttackBaseStamina,SaWeaponDamage,SaDurability,CorrectStrength,CorrectAgility,CorrectMagic,CorrectFaith,PhysGuardCutRate,MagGuardCutRate,FireGuardCutRate,ThunGuardCutRate,PoisonGuardResist,DiseaseGuardResist,BloodGuardResist,CurseGuardResist,StaminaGuardDef,SpEffectBehaviorId0,SpEffectBehaviorId1,SpEffectBehaviorId2,ResidentSpEffectId,ResidentSpEffectId1,ResidentSpEffectId2,ReinforceTypeId,CorrectType,MaterialSetId,BaseChangeCategory,OriginEquipWep2,OriginEquipWep1,OriginEquipWep6,OriginEquipWep7,OriginEquipWep,OriginEquipWep3,OriginEquipWep5,OriginEquipWep13,OriginEquipWep14,OriginEquipWep4,OriginEquipWep15,OriginEquipWep11,OriginEquipWep10,OriginEquipWep9,OriginEquipWep8,OriginEquipWep12,TrophySGradeId,TrophySeqId,AntiDemonDamageRate,AntSaintDamageRate,AntWeakA_DamageRate,AntWeakB_DamageRate,ThrowAtkRate,BowDistRate,IsCustom,DisableBaseChangeReset,DisableRepair,
1831,200,1304,1298000,100,"Weapon type: Bow\nAttack type: none\n\nThe preferred black bow of the heroic\narcher Pharis.\n\nHas a longer range than standard bows,\nbut is more difficult to use. Without proper\nabilities, results will be underwhelming.",Black Bow of Pharis,100,Bow,200,1,100720,1202000,ハンターの弓,,100710,50,1831,100700,7,0,4400,Bow,82,44,2,0,14,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,95,FALSE,FALSE,FALSE,FALSE,0,FALSE,13,18,0,0,99,1,10,0,0,10,1,TRUE,0,0,0,FALSE,0,0,1,34,0,0,0,1,0,0,13,165,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,1202000,1202000,1202005,1202005,1202000,1202000,1202000,1202010,1202010,1202000,1202010,1202010,1202005,1202005,1202005,1202010,-1,16,1,1,1,1,0,30,TRUE,FALSE,FALSE,
2617,460,1545,1599000,230,Weapon type: Greatshield\nAttack type: Strike\n\nGreatshield of the mighty knight Tarkus.\n\nBuilt of special black iron and even heavier\nthan Knight Berenike's tower shield.\nEspecially resistant to fire attacks and\neffective for shield bashing.,Black Iron Greatshield,230,Shield,800,16,100720,9003000,デザインコンテスト用盾Ｄ,,100710,50,2617,100700,7,0,4700,Shield,0,47,1,0,15,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,54,50,82,FALSE,TRUE,FALSE,FALSE,0,FALSE,34,0,0,0,99,1,10,0,0,65,20,TRUE,0,0,0,FALSE,0,0,4,80,0,0,0,40,20,0,31,0,0,0,100,40,90,50,86,86,100,50,71,-1,-1,-1,-1,-1,-1,5000,0,0,0,9003000,9003000,9003005,9003005,9003000,9003000,9003000,9003010,9003010,9003000,9003010,9003010,9003005,9003005,9003005,9003010,1545,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
1121,600,507,799000,300,Weapon type: Greataxe\nAttack type: Regular\n\nGreataxe of the black knights who wander\nLordran. Used to face chaos demons.\n\nThe large motion that puts the weight of the\nbody into the attack reflects the great size\nof their adversaries long ago.,Black Knight Greataxe,300,Greataxe,2000,16,101320,753000,黒騎士の大斧,,101310,100,1122,101300,7,0,3203,Axe,107,GreatAxe,2,2,12,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,146,TRUE,FALSE,FALSE,FALSE,0,FALSE,36,18,0,0,99,1,10,0,0,10,60,TRUE,0,0,0,FALSE,0,0,3,229,0,0,0,45,50,0,90,4,0,0,55,10,40,40,50,50,50,46,38,-1,-1,-1,-1,-1,-1,1200,0,1200,45,753000,753000,-1,-1,753000,753000,753000,-1,-1,753000,-1,-1,-1,-1,-1,-1,507,-1,1.2,1,1,1,0,-1,TRUE,FALSE,FALSE,
531,600,221,399000,300,Weapon type: Ultra Greatsword\nAttack type: Regular/Thrust\n\nGreatsword of the black knights who wander\nLordran. Used to face chaos demons.\n\nThe large motion that puts the weight of the\nbody into the attack reflects the great size\nof their adversaries long ago.,Black Knight Greatsword,300,Ultra Greatsword,2000,14,101320,355000,黒騎士の特大剣,,101310,100,531,101300,7,0,2604,Sword,128,Zweihander,2,2,12,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,145,TRUE,FALSE,FALSE,TRUE,1,FALSE,32,18,0,0,99,1,10,0,0,10,60,TRUE,0,0,0,FALSE,0,0,3,220,0,0,0,45,50,0,90,5,0,0,70,10,50,50,55,55,55,54,44,-1,-1,-1,-1,-1,-1,1200,0,1200,45,355000,355000,-1,-1,355000,355000,355000,-1,-1,355000,-1,-1,-1,-1,-1,-1,221,-1,1.2,1,1,1,0,-1,TRUE,FALSE,FALSE,
1561,600,731,1199000,300,Weapon type: Halberd\nAttack type: Slash\n\nHalberd of the black knights who wander\nLordran. Used to face chaos demons.\n\nThe large motion that puts the weight of the\nbody into the attack reflects the great size\nof their adversaries long ago.,Black Knight Halberd,300,Halberd,2000,14,101320,1105000,黒騎士の斧槍,,101310,100,1561,101300,7,0,3805,Halberd,112,38,2,3,13,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,147,FALSE,FALSE,TRUE,FALSE,1,FALSE,32,18,0,0,99,1,10,0,0,10,40,TRUE,0,0,0,FALSE,0,0,2,245,0,0,0,30,30,0,44,2,0,0,40,10,30,30,40,40,40,30,26,-1,-1,-1,-1,-1,-1,1200,0,1200,45,1105000,1105000,-1,-1,1105000,1105000,1105000,-1,-1,1105000,-1,-1,-1,-1,-1,-1,731,-1,1.2,1,1,1,0,-1,TRUE,FALSE,FALSE,
2482,500,1514,1499000,250,"Weapon type: Shield\nAttack type: Strike\n\nShield of the Black Knights that wander\nLordan. A flowing canal is chiseled deeply\ninto its face. \nLong ago, the black knights faced the chaos\ndemons, and were charred black, but their\nshields became highly resistant to fire.",Black Knight Shield,250,Shield,2000,6,101320,1474000,黒騎士の盾,,101310,100,2482,101300,7,0,4800,Shield,0,48,0,0,15,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,54,50,143,FALSE,TRUE,FALSE,FALSE,1,FALSE,16,0,0,0,99,1,10,0,0,50,20,TRUE,0,0,0,FALSE,0,0,4,68,0,0,0,25,20,0,34,0,0,0,100,25,95,65,90,90,90,90,62,-1,-1,-1,-1,-1,-1,1400,0,1200,45,1474000,1474000,-1,-1,1474000,1474000,1474000,-1,-1,1474000,-1,-1,-1,-1,-1,-1,1514,-1,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
351,600,259,398000,300,Weapon type: Greatsword\nAttack type: Regular/Thrust\n\nGreatsword of the black knights who wander\nLordran. Used to face chaos demons.\n\nThe large motion that puts the weight of the\nbody into the attack reflects the great size\nof their adversaries long ago.,Black Knight Sword,300,Greatsword,2000,8,101320,310000,黒騎士の大剣,,101310,100,351,101300,7,0,2501,Sword,80,Claymore,2,2,12,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,142,TRUE,FALSE,FALSE,TRUE,1,FALSE,20,18,0,0,99,1,10,0,0,10,40,TRUE,0,0,0,FALSE,0,0,3,220,0,0,0,40,35,0,58,7,0,0,60,10,40,40,40,40,40,46,38,-1,-1,-1,-1,-1,-1,1200,0,1200,45,310000,310000,-1,-1,310000,310000,310000,-1,-1,310000,-1,-1,-1,-1,-1,-1,259,-1,1.2,1,1,1,0,-1,TRUE,FALSE,FALSE,
1211,500,657,898000,250,"Weapon type: Hammer\nAttack type: Strike\n\nWooden hammer of the giant blacksmith in\nAnor Londo who handles lightning weapons.\n\nThe giant blacksmith forges with this wooden\nhammer, as it would be hazardous to handle\nlightning weapons with metals.",Blacksmith Giant Hammer,250,Hammer,2000,6,101320,811000,巨人鍛冶の金槌,,101310,100,1211,101300,7,0,3302,Club,0,Club,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,2,52,52,168,FALSE,TRUE,FALSE,FALSE,0,FALSE,16,0,0,0,99,1,10,0,0,10,40,TRUE,0,0,0,FALSE,0,0,2,120,0,0,200,30,35,0,35,0,0,0,45,10,30,30,40,40,40,34,30,-1,-1,-1,-1,-1,-1,1200,0,1200,45,811000,811000,-1,-1,811000,811000,811000,-1,-1,811000,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
1261,500,656,898000,250,"Weapon type: Hammer\nAttack type: Strike\n\nMetal hammer of Andre of Astora,\nblacksmith at the Old Church.\n\nCan be used as a strike weapon, but better\nleft in the hands of its talented owner.",Blacksmith Hammer,250,Hammer,200,5,100720,810000,アンドレの金槌,,100710,50,1261,100700,7,0,3300,Club,59,Club,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,167,FALSE,TRUE,FALSE,FALSE,0,TRUE,14,0,0,0,99,1,10,0,0,10,40,TRUE,0,0,0,FALSE,0,0,2,87,0,0,0,30,35,0,75,0,0,0,45,10,30,30,40,40,40,34,30,-1,-1,-1,-1,-1,-1,0,0,0,0,810000,810000,810005,810005,810000,810000,810000,810010,810010,810000,810010,810010,810005,810005,810005,810010,-1,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
2407,480,1544,1499000,240,"Weapon type: Shield\nAttack type: Strike\n\nThe bloodshield spoken of in the lost\nlegends. The red of blood is slightly\nenchanted, and boosts various resistances.",Bloodshield,240,Shield,200,3,100720,9002000,デザインコンテスト用盾Ｃ,,100710,50,2407,100700,7,0,4800,Shield,0,48,0,0,15,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,54,50,69,FALSE,TRUE,FALSE,FALSE,1,FALSE,10,0,0,0,99,1,10,0,0,50,20,TRUE,0,0,0,FALSE,0,0,4,62,0,0,0,25,20,0,31,0,0,0,100,30,70,50,90,90,92,85,53,-1,-1,-1,6750,-1,-1,6000,0,0,0,9002000,9002000,9002005,9002005,9002000,9002000,9002000,9002010,9002010,9002000,9002010,9002010,9002005,9002005,9002005,9002010,1544,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
6011,0,2026,2199000,0,,Bolt,0,,0,0,-1,2199000,徘徊ボルト,,-1,5,5056,-1,7,0,1100,Bolt,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,99,1,10,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1,FALSE,FALSE,FALSE,
2631,400,1540,1599000,200,"Weapon type: Greatshield\nAttack type: Strike\n\nGiant wooden wheel encircled by spikes.\nHalf-melded to a strange skeleton.\n\nCan be used as a greatshield, only for the\ngreat gaps. But at least the spikes turn into\nweapons with a good spin. Strange indeed!",Bonewheel Shield,200,Greatshield,800,12,100720,1506000,車輪の盾 ,,100710,50,2631,100700,7,0,4702,Shield,126,47,1,0,15,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,2,55,52,183,FALSE,TRUE,FALSE,FALSE,0,FALSE,30,0,0,0,99,1,10,0,0,65,60,TRUE,0,0,0,FALSE,0,0,4,80,0,0,0,35,20,0,31,0,0,0,90,30,30,51,75,75,85,80,66,-1,-1,-1,-1,-1,-1,0,0,0,0,1506000,1506000,1506005,1506005,1506000,1506000,1506000,1506010,1506010,1506000,1506010,1506010,1506005,1506005,1506005,1506010,-1,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
121,400,204,299000,200,Weapon type: Straight Sword\nAttack type: Regular\n\nThe wide blade of this straight sword\nemphasizes slicing and has no thrust attack.\n\nThe horizontal sweeping motion makes this\nsword effective against multiple enemies.,Broadsword,200,Straight Sword,200,3,100720,202000,ブロードソード,,100710,50,121,100700,7,0,2301,Sword,53,Sword,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,8,TRUE,FALSE,FALSE,FALSE,0,TRUE,10,10,0,0,99,1,10,0,0,10,20,TRUE,0,0,0,FALSE,0,0,2,82,0,0,0,25,20,0,51,51,0,0,50,10,35,35,40,40,40,38,32,-1,-1,-1,-1,-1,-1,0,0,0,0,202000,202000,202005,202005,202000,202000,202000,202010,202010,202000,202010,202010,202005,202005,202005,202010,-1,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
