"Id","Value"
"9019015","Guardian Tail+15"
"9019100","Crystal Guardian Tail"
"9019101","Crystal Guardian Tail+1"
"9019102","Crystal Guardian Tail+2"
"9019103","Crystal Guardian Tail+3"
"9019104","Crystal Guardian Tail+4"
"9019105","Crystal Guardian Tail+5"
"9019200","Lightning Guardian Tail"
"9019201","Lightning Guardian Tail+1"
"9019202","Lightning Guardian Tail+2"
"9019203","Lightning Guardian Tail+3"
"9019204","Lightning Guardian Tail+4"
"9019205","Lightning Guardian Tail+5"
"9019300","Raw Guardian Tail"
"9019301","Raw Guardian Tail+1"
"9019302","Raw Guardian Tail+2"
"9019303","Raw Guardian Tail+3"
"9019304","Raw Guardian Tail+4"
"9019305","Raw Guardian Tail+5"
"9019400","Magic Guardian Tail"
"9019401","Magic Guardian Tail+1"
"9019402","Magic Guardian Tail+2"
"9019403","Magic Guardian Tail+3"
"9019404","Magic Guardian Tail+4"
"9019405","Magic Guardian Tail+5"
"9019406","Magic Guardian Tail+6"
"9019407","Magic Guardian Tail+7"
"9019408","Magic Guardian Tail+8"
"9019409","Magic Guardian Tail+9"
"9019410","Magic Guardian Tail+10"
"9019500","Enchanted Guardian Tail"
"9019501","Enchanted Guardian Tail+1"
"9019502","Enchanted Guardian Tail+2"
"9019503","Enchanted Guardian Tail+3"
"9019504","Enchanted Guardian Tail+4"
"9019505","Enchanted Guardian Tail+5"
"9019600","Divine Guardian Tail"
"9019601","Divine Guardian Tail+1"
"9019602","Divine Guardian Tail+2"
"9019603","Divine Guardian Tail+3"
"9019604","Divine Guardian Tail+4"
"9019605","Divine Guardian Tail+5"
"9019606","Divine Guardian Tail+6"
"9019607","Divine Guardian Tail+7"
"9019608","Divine Guardian Tail+8"
"9019609","Divine Guardian Tail+9"
"9019610","Divine Guardian Tail+10"
"9019700","Occult Guardian Tail"
"9019701","Occult Guardian Tail+1"
"9019702","Occult Guardian Tail+2"
"9019703","Occult Guardian Tail+3"
"9019704","Occult Guardian Tail+4"
"9019705","Occult Guardian Tail+5"
"9019800","Fire Guardian Tail"
"9019801","Fire Guardian Tail+1"
"9019802","Fire Guardian Tail+2"
"9019803","Fire Guardian Tail+3"
"9019804","Fire Guardian Tail+4"
"9019805","Fire Guardian Tail+5"
"9019806","Fire Guardian Tail+6"
"9019807","Fire Guardian Tail+7"
"9019808","Fire Guardian Tail+8"
"9019809","Fire Guardian Tail+9"
"9019810","Fire Guardian Tail+10"
"9019900","Chaos Guardian Tail"
"9019901","Chaos Guardian Tail+1"
"9019902","Chaos Guardian Tail+2"
"9019903","Chaos Guardian Tail+3"
"9019904","Chaos Guardian Tail+4"
"9019905","Chaos Guardian Tail+5"
"9020000","Obsidian Greatsword"
"9020001","Obsidian Greatsword+1"
"9020002","Obsidian Greatsword+2"
"9020003","Obsidian Greatsword+3"
"9020004","Obsidian Greatsword+4"
"9020005","Obsidian Greatsword+5"
"9021000","Gough's Greatbow"
"9021001","Gough's Greatbow+1"
"9021002","Gough's Greatbow+2"
"9021003","Gough's Greatbow+3"
"9021004","Gough's Greatbow+4"
"9021005","Gough's Greatbow+5"
