Id,TranslatedName,Name,IconId,StateInfo,SpCategory,CategoryPriority,SaveCategory,EffectTargetSelf,EffectTargetFriend,EffectTargetEnemy,EffectTargetPlayer,EffectTargetAI,EffectTargetLive,EffectTargetGhost,EffectTargetWhiteGhost,EffectTargetBlackGhost,EffectTargetAttacker,DispIconNonactive,UseSpEffectEffect,BAdjustMagicAblity,BAdjustFaithAblity,BGameClearBonus,ConditionHp,EffectEndurance,MotionInterval,MaxHpRate,MaxMpRate,MaxStaminaRate,WepParamChange,MagParamChange,MiracleParamChange,ClearSoul,DmgLv_None,DmgLv_Min,DmgLv_S,DmgLv_M,DmgLv_L,DmgLv_BlowS,DmgLv_BlowM,DmgLv_Strike,DmgLv_Uppercut,DmgLv_Push,DmgLv_BlowLL,DmgLv_Breath,AtkAttribute,SpAttribute,DefFlickPower,FlickDamageCutRate,GuardDefFlickPowerRate,SlashDamageCutRate,BlowDamageCutRate,ThrustDamageCutRate,NeutralDamageCutRate,MagicDamageCutRate,FireDamageCutRate,ThunderDamageCutRate,PhysicsAttackRate,MagicAttackRate,FireAttackRate,ThunderAttackRate,PhysicsAttackPowerRate,MagicAttackPowerRate,FireAttackPowerRate,ThunderAttackPowerRate,PhysicsAttackPower,MagicAttackPower,FireAttackPower,ThunderAttackPower,PhysicsDiffenceRate,MagicDiffenceRate,FireDiffenceRate,ThunderDiffenceRate,PhysicsDiffence,MagicDiffence,FireDiffence,ThunderDiffence,NoGuardDamageRate,VitalSpotChangeRate,NormalSpotChangeRate,MaxHpChangeRate,BehaviorId,ChangeHpRate,ChangeHpPoint,ChangeMpRate,ChangeMpPoint,MpRecoverChangeSpeed,ChangeStaminaRate,ChangeStaminaPoint,StaminaRecoverChangeSpeed,ChangeSuperArmorPoint,MagicEffectTimeChange,InsideDurability,MaxDurability,StaminaAttackRate,GuardStaminaCutRate,BowDistRate,PoizonAttackPower,RegistIllness,RegistBlood,RegistCurse,FallDamageRate,SoulRate,EquipWeightChangeRate,AllItemWeightChangeRate,Soul,HaveSoulRate,TargetPriority,SightSearchEnemyCut,HearingSearchEnemyCut,RequestSOS,RequestBlackSOS,RequestForceJoinBlackSOS,RequestKickSession,RequestLeaveSession,RequestLeaveColiseumSession,RequestNpcInveda,NoDead,BCurrHPIndependeMaxHP,ChangeMagicSlot,ChangeMiracleSlot,MoveType,GrabityRate,RegistPoizonChangeRate,RegistIllnessChangeRate,RegistBloodChangeRate,RegistCurseChangeRate,BloodDamageRate,SoulStealRate,CorrosionIgnore,SightSearchCutIgnore,HearingSearchCutIgnore,AntiMagicIgnore,FakeTargetIgnore,FakeTargetIgnoreUndead,FakeTargetIgnoreAnimal,GrabityIgnore,LifeReductionType,LifeReductionRate,HpRecoverRate,DisablePoison,DisableDisease,DisableBlood,DisableCurse,EnableCharm,EnableLifeTime,IsExtendSpEffectLife,RayCastPassedTime,HasTarget,IsFireDamageCancel,ThrowCondition,ReplaceSpEffectId,CycleOccurrenceSpEffectId,AtkOccurrenceSpEffectId,AnimIdOffset,HeroPointDamage,AddBehaviorJudgeId_condition,AddBehaviorJudgeId_add,VowType0,VowType1,VowType2,VowType3,VowType4,VowType5,VowType6,VowType7,VowType8,VowType9,VowType10,VowType11,VowType12,VowType13,VowType14,VowType15
10,[System] Black_Soulsign,【システム】Black_Soulsign,-1,0,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,True,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,[System] Black_ForceJoinSoulsign,【システム】Black_ForceJoinSoulsign,-1,0,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,True,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,[System] bloodSign,【システム】bloodSign,-1,55,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,[System] Seoul Steel [multi],【システム】ソウルスティール【マルチ】,-1,14,0,0,-1,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,[System] blue sign visualization,【システム】青サイン可視化,-1,183,0,0,7,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,-1,-1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,[System] entry into the NPC,【システム】NPCへの侵入,-1,0,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,True,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,[System] nits intrusion sign handouts,【システム】ニト侵入サインばらまき,-1,185,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,-1,-1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
17,[System] l arena exit,【システム】l闘技場 退出,-1,0,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,True,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,[System] valuation effects,【システム】評価効果,-1,59,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,-1,5,5,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,-100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,[System] point light source equipment,【システム】点光源装備,-1,58,0,0,-1,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,-1,-1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,test_change_wep0,test_change_wep0,-1,0,100,0,-1,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,-1,-1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,test_change_wep1,test_change_wep1,-1,0,100,0,-1,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,-1,-1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,10000,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
24,[System] relief request,【システム】救援要請,-1,148,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0.1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25,[System] revival production for effect,【システム】復活演出用効果,-1,175,0,0,-1,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26,[System] to invade the bounty,【システム】賞金首に侵入,0,196,0,0,-1,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
27,Spread the [system] dragon scales,【システム】竜のうろこをばらまく,0,195,0,0,-1,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
28,[System] multi intrusion time limit me to level 0,【システム】マルチ侵入制限時間をレベル0にする,-1,0,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,-1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
30,Parry Destruction state (throw conditions),パリィ崩され状態（投げ条件）,-1,0,0,0,-1,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,-1,0.1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,2,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
