"OldSortId","FixPrice","EquipModelId","WanderingEquipId","DurabilityMax","EnglishDescription","EnglishName","Durability","EnglishType","BasicPrice","Weight","VagrantItemEneDropItemLotId","Id","Name","TranslatedName","VagrantBonusEneDropItemLotId","SellValue","SortId","VagrantItemLotId","EquipModelCategory","EquipModelGender","BehaviorVariationId","WeaponCategory","SpAtkcategory","MotionCategory","GuardmotionCategory","WepmotionOneHandId","WepmotionBothHandId","IsDurabilityDivergence","RightHandEquipable","LeftHandEquipable","BothHandEquipable","ArrowSlotEquipable","BoltSlotEquipable","EnableGuard","EnableParry","EnableMagic","EnableSorcery","EnableMiracle","EnableVowMagic","LanternWep","IsVersusGhostWep","SpAttribute","IsDragonSlayer","IsDarkHand","DisableMultiDropShare","SimpleModelForDlc","AtkMaterial","DefMaterial","DefSfxMaterial","IconId","IsNormalAttackType","IsBlowAttackType","IsSlashAttackType","IsThrustAttackType","WeaponWeightRate","IsEnhance","ProperStrength","ProperAgility","ProperMagic","ProperFaith","OverStrength","AttackThrowEscape","ParryDamageLife","AttackBaseParry","DefenseBaseParry","GuardBaseRepel","AttackBaseRepel","IsDeposit","SlashGuardCutRate","BlowGuardCutRate","ThrustGuardCutRate","IsLuckCorrect","GuardCutCancelRate","GuardAngle","GuardLevel","AttackBasePhysics","AttackBaseMagic","AttackBaseFire","AttackBaseThunder","AttackBaseStamina","SaWeaponDamage","SaDurability","CorrectStrength","CorrectAgility","CorrectMagic","CorrectFaith","PhysGuardCutRate","MagGuardCutRate","FireGuardCutRate","ThunGuardCutRate","PoisonGuardResist","DiseaseGuardResist","BloodGuardResist","CurseGuardResist","StaminaGuardDef","SpEffectBehaviorId0","SpEffectBehaviorId1","SpEffectBehaviorId2","ResidentSpEffectId","ResidentSpEffectId1","ResidentSpEffectId2","ReinforceTypeId","CorrectType","MaterialSetId","BaseChangeCategory","OriginEquipWep2","OriginEquipWep1","OriginEquipWep6","OriginEquipWep7","OriginEquipWep","OriginEquipWep3","OriginEquipWep5","OriginEquipWep13","OriginEquipWep14","OriginEquipWep4","OriginEquipWep15","OriginEquipWep11","OriginEquipWep10","OriginEquipWep9","OriginEquipWep8","OriginEquipWep12","TrophySGradeId","TrophySeqId","AntiDemonDamageRate","AntSaintDamageRate","AntWeakA_DamageRate","AntWeakB_DamageRate","ThrowAtkRate","BowDistRate","IsCustom","DisableBaseChangeReset","DisableRepair"
"11","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Parrying Dagger","200","Dagger","100","0.5","100720","101000","パリングダガー","","100710","50","11","100700","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","2","False","False","True","True","0","True","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","54","0","0","0","10","5","0","13","85","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","0","0","0","0","101000","101000","101005","101005","101000","101000","101000","101010","101010","101000","101010","101010","101005","101005","101005","101010","-1","16","1","1","1","1","31","-1","True","False","False"
"12","400","107","199000","20","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Crystal Parrying Dagger","20","Dagger","100","0.5","100720","101100","結晶のパリングダガー","","100710","1","12","100700","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","2","False","False","True","True","0","True","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","54","0","0","0","10","5","0","13","85","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","100","0","100","5","101010","101010","-1","-1","101010","101010","101010","-1","-1","101010","-1","-1","-1","-1","-1","-1","-1","17","1","1","1","1","31","-1","True","True","True"
"13","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Lightning Parrying Dagger","200","Dagger","100","0.5","100720","101200","雷のパリングダガー","","100710","500","13","100700","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","6","False","False","False","False","0","50","50","2","False","False","True","True","0","False","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","54","0","0","54","10","5","0","0","0","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","200","0","200","10","101010","101010","-1","-1","101010","101010","101010","-1","-1","101010","-1","-1","-1","-1","-1","-1","-1","18","1","1","1","1","31","-1","True","False","False"
"14","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Raw Parrying Dagger","200","Dagger","100","0.5","-1","101300","粗製のパリングダガー","","-1","50","14","-1","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","2","False","False","True","True","0","True","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","62","0","0","0","10","5","0","10","64","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","300","0","300","15","101005","101005","-1","-1","101005","101005","101005","-1","-1","101005","-1","-1","-1","-1","-1","-1","-1","19","1","1","1","1","31","-1","True","False","False"
"15","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Magic Parrying Dagger","200","Dagger","100","0.5","100820","101400","魔法Ａのパリングダガー","","100810","50","15","100800","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","2","False","False","True","True","0","False","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","41","44","0","0","10","5","0","4","24","71","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","400","1","400","20","101005","101005","101405","101405","101005","101005","101005","-1","-1","101005","-1","-1","101405","101405","101405","-1","-1","20","1","1","1","1","31","-1","True","False","False"
"16","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Enchanted Parrying Dagger","200","Dagger","100","0.5","100820","101500","魔法Ｂのパリングダガー","","100810","50","16","100800","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","2","False","False","True","True","0","False","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","41","43","0","0","10","5","0","3","17","69","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","500","1","500","22","101405","101405","-1","-1","101405","101405","101405","-1","-1","101405","-1","-1","-1","-1","-1","-1","-1","21","1","1","1","1","31","-1","True","False","False"
"17","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Divine Parrying Dagger","200","Dagger","100","0.5","100920","101600","神聖のパリングダガー","","100910","100","17","100900","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","2","False","False","True","True","0","False","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","36","45","0","0","10","5","0","5","33","0","70","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","600","1","600","25","101005","101005","101605","101605","101005","101005","101005","-1","-1","101005","-1","-1","101605","101605","101605","-1","-1","22","1","1.1","1","1","31","-1","True","False","False"
"18","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Occult Parrying Dagger","200","Dagger","100","0.5","100920","101700","暗黒のパリングダガー","","100910","100","18","100900","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","2","False","False","True","True","0","False","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","37","41","0","0","10","5","0","5","31","0","82","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","700","1","700","30","101605","101605","-1","-1","101605","101605","101605","-1","-1","101605","-1","-1","-1","-1","-1","-1","-1","23","1","1","1.1","1","31","-1","True","False","False"
"19","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Fire Parrying Dagger","200","Dagger","100","0.5","101020","101800","炎のパリングダガー","","101010","50","19","101000","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","2","False","False","False","False","0","50","50","2","False","False","True","True","0","False","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","54","0","54","0","10","5","0","0","0","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","800","0","800","35","101005","101005","101805","101805","101005","101005","101005","-1","-1","101005","-1","-1","101805","101805","101805","-1","-1","24","1","1","1","1","31","-1","True","False","False"
"20","400","107","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis dagger is useful after parrying and is\nnormally equipped in the left hand.\n\nA favorite of the knights of Carim, who are\nfamous for fighting without a shield.","Chaos Parrying Dagger","200","Dagger","100","0.5","101020","101900","混沌の炎のパリングダガー","","101010","50","20","101000","7","0","2000","Dagger","71","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","2","False","False","False","False","0","50","50","2","False","False","True","True","0","False","5","14","0","0","99","1","10","0","0","10","20","True","0","0","0","True","0","0","1","47","0","55","0","10","5","0","0","0","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","900","0","900","40","101805","101805","-1","-1","101805","101805","101805","-1","-1","101805","-1","-1","-1","-1","-1","-1","-1","25","1","1","1","1","31","-1","True","False","False"
"31","200","103","199000","100","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThe ghosts of New Londo clutch this wickedly\nsharp dagger with their bony hands and make\nmincemeat of the living.\n\nOne of the cursed weapons which can inflict\ndamage upon ghosts.","Ghost Blade","100","Dagger","2000","0.5","101320","102000","死霊のナイフ","","101310","100","31","101300","7","0","2003","Dagger","120","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","True","1","False","False","False","False","0","50","50","3","False","False","True","True","0","False","5","0","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","110","0","0","0","10","5","0","12","0","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","1200","0","1200","45","102000","102000","-1","-1","102000","102000","102000","-1","-1","102000","-1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","27","-1","True","False","False"
"21","400","101","199000","200","Weapon type: Dagger\nAttack type: Slash\n\nThis wide single-edged shortsword is\nthe favorite of lowly thieves and bandits.\n\nPrimarily a slicing weapon, but highly\neffective when used for critical hits,\nsuch as after parrying or from behind.","Bandit's Knife","200","Dagger","100","1","100720","103000","短刀","","100710","50","21","100700","7","0","2001","Dagger","72","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","4","False","False","True","False","1","True","6","12","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","56","0","0","0","10","5","0","13","85","0","0","45","10","30","30","40","40","40","30","26","6400","-1","-1","-1","-1","-1","0","0","0","0","103000","103000","103005","103005","103000","103000","103000","103010","103010","103000","103010","103010","103005","103005","103005","103010","-1","16","1","1","1","1","47","-1","True","False","False"
"22","400","101","199000","20","Weapon type: Dagger\nAttack type: Slash\n\nThis wide single-edged shortsword is\nthe favorite of lowly thieves and bandits.\n\nPrimarily a slicing weapon, but highly\neffective when used for critical hits,\nsuch as after parrying or from behind.","Crystal Knife","20","Dagger","100","1","100720","103100","結晶の短刀","","100710","1","22","100700","7","0","2001","Dagger","72","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","4","False","False","True","False","1","True","6","12","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","56","0","0","0","10","5","0","13","85","0","0","45","10","30","30","40","40","40","30","26","6400","-1","-1","-1","-1","-1","100","0","100","5","103010","103010","-1","-1","103010","103010","103010","-1","-1","103010","-1","-1","-1","-1","-1","-1","-1","17","1","1","1","1","47","-1","True","True","True"
"23","400","101","199000","200","Weapon type: Dagger\nAttack type: Slash\n\nThis wide single-edged shortsword is\nthe favorite of lowly thieves and bandits.\n\nPrimarily a slicing weapon, but highly\neffective when used for critical hits,\nsuch as after parrying or from behind.","Lightning Knife","200","Dagger","100","1","100720","103200","雷の短刀","","100710","500","23","100700","7","0","2001","Dagger","72","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","6","False","False","False","False","0","50","50","4","False","False","True","False","1","False","6","12","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","56","0","0","56","10","5","0","0","0","0","0","45","10","30","30","40","40","40","30","26","6400","-1","-1","-1","-1","-1","200","0","200","10","103010","103010","-1","-1","103010","103010","103010","-1","-1","103010","-1","-1","-1","-1","-1","-1","-1","18","1","1","1","1","47","-1","True","False","False"
"24","400","101","199000","200","Weapon type: Dagger\nAttack type: Slash\n\nThis wide single-edged shortsword is\nthe favorite of lowly thieves and bandits.\n\nPrimarily a slicing weapon, but highly\neffective when used for critical hits,\nsuch as after parrying or from behind.","Raw Knife","200","Dagger","100","1","-1","103300","粗製の短刀","","-1","50","24","-1","7","0","2001","Dagger","72","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","4","False","False","True","False","1","True","6","12","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","64","0","0","0","10","5","0","10","64","0","0","45","10","30","30","40","40","40","30","26","6400","-1","-1","-1","-1","-1","300","0","300","15","103005","103005","-1","-1","103005","103005","103005","-1","-1","103005","-1","-1","-1","-1","-1","-1","-1","19","1","1","1","1","47","-1","True","False","False"
"25","400","101","199000","200","Weapon type: Dagger\nAttack type: Slash\n\nThis wide single-edged shortsword is\nthe favorite of lowly thieves and bandits.\n\nPrimarily a slicing weapon, but highly\neffective when used for critical hits,\nsuch as after parrying or from behind.","Magic Knife","200","Dagger","100","1","100820","103400","魔法Ａの短刀","","100810","50","25","100800","7","0","2001","Dagger","72","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","4","False","False","True","False","1","False","6","12","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","42","46","0","0","10","5","0","4","24","71","0","45","10","30","30","40","40","40","30","26","6400","-1","-1","-1","-1","-1","400","1","400","20","103005","103005","103405","103405","103005","103005","103005","-1","-1","103005","-1","-1","103405","103405","103405","-1","-1","20","1","1","1","1","47","-1","True","False","False"
"26","400","101","199000","200","Weapon type: Dagger\nAttack type: Slash\n\nThis wide single-edged shortsword is\nthe favorite of lowly thieves and bandits.\n\nPrimarily a slicing weapon, but highly\neffective when used for critical hits,\nsuch as after parrying or from behind.","Enchanted Knife","200","Dagger","100","1","100820","103500","魔法Ｂの短刀","","100810","50","26","100800","7","0","2001","Dagger","72","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","4","False","False","True","False","1","False","6","12","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","42","45","0","0","10","5","0","3","17","69","0","45","10","30","30","40","40","40","30","26","6400","-1","-1","-1","-1","-1","500","1","500","22","103405","103405","-1","-1","103405","103405","103405","-1","-1","103405","-1","-1","-1","-1","-1","-1","-1","21","1","1","1","1","47","-1","True","False","False"
